room_id,scrape_id,host_id,property_type,room_type,country,market,neighbourhood,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,accommodates,bathrooms,bedrooms,beds,bed_type,price_Yen,price_USD,minimum_nights,maximum_nights,name,host_name,host_since,latitude,longitude,host_location,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
35303,2.02E+13,151977,Apartment,Private room,Japan,Tokyo,Shibuya Ku,18,0.18,3,89,1,1,1,1,Real Bed,4192,39.62941955,28,1125,"La Casa Gaienmae C Harajuku, Omotesando is nearby",Miyuki,6/25/2010,35.67152,139.71203,"Shibuya, Tokyo, Japan",94,9,9,9,10,10,9
197677,2.02E+13,964081,Apartment,Entire home/apt,Japan,Tokyo,Sumida Ku,165,1.56,1,270,2,1,1,2,Futon,10965,103.6585366,3,365,Oshiage Holiday Apartment,Yoshimi & Marek,8/13/2011,35.71721,139.82596,Tokyo,95,10,10,10,10,9,10
289597,2.02E+13,341577,Apartment,Entire home/apt,Japan,Tokyo,Nerima Ku,113,1.17,2,242,2,1,1,1,Real Bed,4192,39.62941955,28,180,Private apt in central Tokyo #203,Hide&Kei,1/10/2011,35.74267,139.6581,"Tokyo, Japan",95,9,10,10,9,9,9
370759,2.02E+13,1573631,Apartment,Entire home/apt,Japan,Tokyo,Setagaya Ku,103,1.37,3,364,2,1,0,1,Real Bed,6987,66.05218378,28,720,"Cozy flat #203, local area YET 10 mins to shibuya!","Gilles,Mayumi,Taiki",1/6/2012,35.66443,139.65707,"Imari, Saga, Japan",95,10,10,10,10,10,10
700253,2.02E+13,341577,Apartment,Entire home/apt,Japan,Tokyo,Nerima Ku,104,1.12,2,353,2,1,1,1,Real Bed,3977,37.59689922,28,180,Private apt in central Tokyo #201,Hide&Kei,1/10/2011,35.74264,139.65832,"Tokyo, Japan",96,10,10,10,10,9,10
872235,2.02E+13,1573631,House,Entire home/apt,Japan,Tokyo,Setagaya Ku,45,0.52,3,33,3,1,2,2,Real Bed,7955,75.20325203,28,720,RELAX AT HOME:Shimo 5'/Shibuya 10',"Gilles,Mayumi,Taiki",1/6/2012,35.66832,139.65159,"Imari, Saga, Japan",96,10,9,10,10,10,10
899003,2.02E+13,4799233,Apartment,Entire home/apt,Japan,Tokyo,Shinjuku Ku,93,1.05,2,172,3,1,1,4,Real Bed,5160,48.7804878,30,365,"Classy room @Shinjuku, Takadanoba",Yu,1/22/2013,35.70865,139.69681,"Shinjuku, Tokyo, Japan",90,9,8,9,9,9,9
905944,2.02E+13,4847803,Apartment,Entire home/apt,Japan,Tokyo,Shibuya Ku,185,2.13,11,261,6,1,2,4,Real Bed,9675,91.46341463,3,1123,4F - Near Shinjuku & Shibuya w/Free WiFi,Best Stay In Tokyo!,1/25/2013,35.67878,139.67847,"Tokyo, Japan",95,10,10,10,10,10,9
1016831,2.02E+13,5596383,House,Private room,Japan,Tokyo,Setagaya Ku,211,2.42,1,2,2,1,1,1,Futon,6987,66.05218378,1,60,WOMAN ONLY LICENSED ! Cosy & Cat behnd Shibuya,Wakana,3/24/2013,35.65833,139.67153,"Tokyo, Japan",99,10,10,10,10,10,10
1096292,2.02E+13,6018145,House,Private room,Japan,Tokyo,Shinjuku Ku,251,3.07,3,365,4,1,1,3,Real Bed,10750,101.6260163,1,1124,Home stay with a Japanese language teacher family.,Mari,4/21/2013,35.69098,139.70618,"Shinjuku, Tokyo, Japan",98,10,10,10,10,10,10
1196177,2.02E+13,5686404,House,Private room,Japan,Tokyo,Adachi Ku,95,1.15,1,92,2,1,1,2,Futon,3547,33.53185857,2,30,Stay with host Cozy private room Senju area,Yukiko,3/30/2013,35.74409,139.79895,Tokyo,94,10,10,10,10,9,10
1249571,2.02E+13,6809418,House,Entire home/apt,Japan,Tokyo,Shibuya Ku,99,1.21,1,365,3,1,1,1,Real Bed,32035,302.8455285,4,1125,Unique stay! New&1min to the subway,Yume,6/9/2013,35.65111,139.72165,"Tokyo, Japan",99,10,10,10,10,10,10
1256034,2.02E+13,6834839,Apartment,Private room,Japan,Tokyo,Shibuya Ku,134,1.6,2,0,6,1,2,4,Real Bed,12362,116.8651919,1,1125,ENTIRE APARTMENT 450ftÂ² 2LDK NEAR SHIBUYA/YOYOGI,Tokyo'S Best Stay,6/10/2013,35.68092,139.69273,"Suginami, Tokyo, Japan",93,9,9,10,10,9,9
1263000,2.02E+13,6876728,House,Private room,Japan,Tokyo,Setagaya Ku,185,2.2,1,0,2,1,1,2,Real Bed,6038,57.0807336,3,1125,SHIBUYA 7 MINS  AMAZING HOST(for woman only),Haruko,6/12/2013,35.60682,139.67629,Tokyo,96,9,10,10,10,10,10
1289173,2.02E+13,151977,Serviced apartment,Entire home/apt,Japan,Tokyo,Shibuya Ku,49,0.59,3,83,2,1,1,1,Real Bed,7847,74.18226508,28,1125,"Fashionable Harajuku/Omotesando, next to Shibuya",Miyuki,6/25/2010,35.67058,139.71288,"Shibuya, Tokyo, Japan",95,9,10,10,10,10,9
1298200,2.02E+13,6606987,House,Entire home/apt,Japan,Tokyo,Katsushika Ku,339,4.02,3,210,4,2.5,2,4,Real Bed,13007,122.9627529,3,30,Pine House 2 Bed Room + 2 Toilets,K & N,5/27/2013,35.7385,139.85167,"Katsushika, Tokyo, Japan",99,10,10,10,10,10,10
1306664,2.02E+13,7103955,Apartment,Entire home/apt,Japan,Tokyo,Shinjuku Ku,162,2.01,2,238,2,1,1,1,Real Bed,27950,264.2276423,2,180,3rd floor penthouse @ heart of TKO,Masaharu,6/25/2013,35.70099,139.74012,"Shinjuku, Tokyo, Japan",99,10,10,10,10,10,10
1394124,2.02E+13,5710367,House,Entire home/apt,Japan,Tokyo,Meguro Ku,219,2.64,1,78,11,4,3,11,Real Bed,25047,236.7838911,2,90,Renewal! Solar power/Car space/near to park,David,4/1/2013,35.62198,139.69987,"Meguro, Tokyo, Japan",96,10,9,10,10,9,9
1394409,2.02E+13,7537357,House,Private room,Japan,Tokyo,Toshima Ku,225,2.75,2,87,2,2,1,2,Real Bed,3225,30.48780488,3,1125,Room in Mejiro/Ikebukuro (2 of 3),Yayoi,7/17/2013,35.72597,139.7016,"Toshima, Tokyo, Japan",94,10,9,10,10,10,10
1394737,2.02E+13,7537357,House,Private room,Japan,Tokyo,Toshima Ku,220,2.66,2,352,2,2,1,2,Real Bed,2150,20.32520325,3,1125,Room in Mejiro/Ikebukuro (3 of 3),Yayoi,7/17/2013,35.72607,139.70363,"Toshima, Tokyo, Japan",93,10,10,10,10,10,10
1441639,2.02E+13,7740848,Apartment,Entire home/apt,Japan,Tokyo,Katsushika Ku,304,3.67,8,211,5,1.5,1,5,Real Bed,13545,128.0487805,3,30,Wahuu Style APT + Free Portable Wi-Fi,K Family,7/26/2013,35.73626,139.85024,"Katsushika, Tokyo, Japan",99,10,10,10,10,10,10
1526132,2.02E+13,8142772,Apartment,Private room,Japan,Tokyo,Shinjuku Ku,156,1.9,13,270,3,1,1,0,Real Bed,6020,56.91056911,2,30,Shinjuku Sharehouse Private Tatami room  8F,Min & Haru,8/13/2013,35.69857,139.704,JP,97,10,10,10,10,10,10
1544970,2.02E+13,8142772,Apartment,Private room,Japan,Tokyo,Shinjuku Ku,130,1.59,13,259,3,1,1,0,Real Bed,6020,56.91056911,2,1125,Shinjuku Sharehouse Private Tatami room & Balcony,Min & Haru,8/13/2013,35.69848,139.70432,JP,97,10,10,10,10,10,10
1571298,2.02E+13,8142772,Apartment,Shared room,Japan,Tokyo,Shinjuku Ku,168,2.06,13,268,9,1,1,9,Real Bed,3977,37.59689922,2,30,Shinjuku ShareHouse Dormitory5  with Balcony,Min & Haru,8/13/2013,35.69847,139.70433,JP,96,10,10,10,10,10,10
